Protein	X180330_02_sample_39_patient_54_Dengue_2	X180330_07_sample_13_patient_53_Dengue_1	X180330_08_sample_03_patient_44_Dengue_1	X180330_09_sample_43_patient_54_Dengue_1	X180330_10_sample_57_patient_57_Dengue_2	X180421_02_sample_94_patient_57_Dengue_1	X180421_03_sample_113_patient_44_Dengue_2	X180421_05_sample_02_patient_86_Dengue_1	X180421_06_sample_04_patient_88_Dengue_1	X180421_07_sample_05_patient_71_Dengue_1	X180421_10_sample_08_patient_99_Dengue_2	X180423_04_sample_116_patient_53_Dengue_2	X180424_02_sample_10_patient_58_Dengue_2	X180424_03_sample_11_patient_60_Dengue_1	X180424_04_sample_12_patient_84_Dengue_2	X180424_05_sample_14_patient_79_Dengue_2	X180426_04_sample_18_patient_94_Dengue_2	X180426_05_sample_19_patient_91_Dengue_1	X180508_03_sample_21_patient_88_Dengue_2	X180508_07_sample_25_patient_93_Dengue_1	X180508_08_sample_26_patient_85_Dengue_2	X180508_09_sample_27_patient_98_Dengue_2	X180515_03_sample_34_patient_97_Dengue_2	X180515_04_sample_35_patient_81_Dengue_2	X180515_05_sample_36_patient_79_Dengue_1	X180515_06_sample_37_patient_87_Dengue_1	X180515_08_sample_32_patient_82_Dengue_1	X180517_04_sample_44_patient_92_Dengue_1	X180517_09_sample_50_patient_93_Dengue_2	X180520_02_sample_54_patient_96_Dengue_1	X180520_03_sample_55_patient_84_Dengue_1	X180520_09_sample_62_patient_100_Dengue_1	X180704_02_sample_93_patient_56_Dengue_2	X180704_03_sample_96_patient_68_Dengue_2	X180704_04_sample_97_patient_82_Dengue_2	X180704_05_sample_98_patient_80_Dengue_1	X180704_06_sample_99_patient_83_Dengue_2	X180704_07_sample_100_patient_94_Dengue_1	X180704_09_sample_102_patient_87_Dengue_2	X180704_10_sample_104_patient_97_Dengue_1	X180710_03_sample_106_patient_101_Dengue_1	X180710_04_sample_107_patient_100_Dengue_2	X180710_05_sample_108_patient_95_Dengue_1	X180710_06_sample_109_patient_89_Dengue_2	X180710_07_sample_111_patient_69_Dengue_1	X180710_08_sample_112_patient_101_Dengue_2	X180710_09_sample_114_patient_60_Dengue_2	X180710_10_sample_115_patient_83_Dengue_1	X180712_05_sample_121_patient_91_Dengue_2	X180712_06_sample_122_patient_86_Dengue_2	X180712_08_sample_124_patient_68_Dengue_1	X180716_02_sample_84_patient_95_Dengue_2	X180716_07_sample_89_patient_90_Dengue_1	X180716_09_sample_91_patient_90_Dengue_2	X180716_10_sample_92_patient_78_Dengue_1	X180718_02_sample_40_patient_69_Dengue_2	X180718_06_sample_75_patient_92_Dengue_2	X180718_07_sample_76_patient_55_Dengue_1	X180718_08_sample_77_patient_71_Dengue_2	X180718_09_sample_78_patient_99_Dengue_1	X180718_11_sample_81_patient_89_Dengue_1	X180718_12_sample_82_patient_96_Dengue_2	X180718_13_sample_83_patient_58_Dengue_1	X180719_15_sample_65_patient_98_Dengue_1	X180723_03_sample_67_patient_56_Dengue_1	X180723_04_sample_68_patient_55_Dengue_2	X180724_03_sample_70_patient_85_Dengue_1	X180724_05_sample_72_patient_78_Dengue_2	X180330_03_sample_42_patient_26_Zika_2	X180330_04_sample_51_patient_52_Zika_1	X180330_05_sample_52_patient_27_Zika_2	X180330_06_sample_73_patient_31_Zika_2	X180403_02_sample_95_patient_31_Zika_1	X180403_03_sample_117_patient_26_Zika_1	X180403_05_sample_09_patient_52_Zika_2	X180421_04_sample_01_patient_51_Zika_2	X180421_08_sample_06_patient_18_Zika_1	X180421_09_sample_07_patient_30_Zika_1	X180423_02_sample_110_patient_70_Zika_2	X180423_03_sample_103_patient_27_Zika_1	X180423_05_sample_31_patient_70_Zika_1	X180424_06_sample_15_patient_28_Zika_2	X180426_02_sample_16_patient_29_Zika_1	X180426_03_sample_17_patient_28_Zika_1	X180508_02_sample_20_patient_64_Zika_2	X180508_04_sample_22_patient_59_Zika_2	X180508_05_sample_23_patient_75_Zika_2	X180508_06_sample_24_patient_67_Zika_2	X180508_10_sample_28_patient_29_Zika_2	X180511_02_sample_29_patient_76_Zika_1	X180511_03_sample_30_patient_50_Zika_1	X180515_02_sample_33_patient_76_Zika_2	X180515_07_sample_38_patient_75_Zika_1	X180517_03_sample_41_patient_74_Zika_2	X180517_06_sample_46_patient_62_Zika_2	X180517_07_sample_48_patient_73_Zika_1	X180517_10_sample_53_patient_59_Zika_1	X180520_04_sample_56_patient_62_Zika_1	X180520_05_sample_58_patient_61_Zika_2	X180520_06_sample_59_patient_72_Zika_2	X180520_07_sample_60_patient_64_Zika_1	X180520_08_sample_61_patient_50_Zika_2	X180520_10_sample_63_patient_33_Zika_1	X180704_08_sample_101_patient_74_Zika_1	X180710_02_sample_105_patient_25_Zika_1	X180712_02_sample_118_patient_65_Zika_2	X180712_03_sample_119_patient_25_Zika_2	X180712_04_sample_120_patient_66_Zika_1	X180712_07_sample_123_patient_63_Zika_2	X180716_03_sample_85_patient_73_Zika_2	X180716_04_sample_86_patient_67_Zika_1	X180716_05_sample_87_patient_66_Zika_2	X180716_06_sample_88_patient_32_Zika_1	X180716_08_sample_90_patient_61_Zika_1	X180718_03_sample_45_patient_32_Zika_2	X180718_04_sample_49_patient_72_Zika_1	X180718_05_sample_74_patient_30_Zika_2	X180718_10_sample_79_patient_51_Zika_1	X180719_14_sample_64_patient_18_Zika_2	X180723_02_sample_66_patient_63_Zika_1	X180724_02_sample_69_patient_65_Zika_1	X180724_04_sample_71_patient_33_Zika_2	nFragment	nPeptide
P02649	602539	724657	586578	550072	487145	753164	479373	729722	464805	441031	539319	1.0606e+06	662262	1.0073e+06	156617	489497	583079	893130	1.04308e+06	566585	159450	115695	732772	536530	804260	156826	420494	542186	580222	629103	193348	485066	400810	425571	638204	611578	291902	488681	190978	936684	532307	314499	1.16201e+06	606278	701565	245402	461080	251026	131047	247387	414841	833978	1.09969e+06	380585	165918	565849	372125	493791	1.00999e+06	666155	555698	555733	149882	359889	458682	1.05195e+06	1.18726e+06	139245	506696	496672	499964	1.64902e+06	456865	1.04602e+06	278342	472003	807044	867649	419198	629745	470084	631347	467262	415066	834398	316527	401231	693367	641354	468866	473543	557678	445058	641106	1.11752e+06	960133	343093	457272	494256	396296	884701	523503	850542	510737	539851	1.37782e+06	350627	761795	677936	592707	274109	276312	299994	873078	977657	460010	630379	432891	820618	600799	376557	335182	42	10
P02652;V9GYM3	129928	245084	142310	95448.4	110492	68915.3	102999	209126	186550	83272.5	100372	182216	146588	69773.3	55216	162799	164848	159161	88740.9	129485	50236	47674.8	110298	270021	205739	51529.3	51826.6	124726	158533	97520	68060.7	84299.4	119435	56355.4	69842.9	158165	62648.5	45425.3	23523.1	42006.3	157858	74254.2	101929	61166.2	144143	143616	74023.6	32728.2	22412.1	33727.6	76104.3	162168	111831	188014	56388.2	129249	63833.9	152921	176363	27002.1	137631	108968	2132.95	128971	141369	143764	125438	109869	116892	107009	109070	167772	235717	186783	95900.3	130311	265757	163274	191584	63023.1	125613	306940	62203.7	111302	200031	85291.9	173270	115712	138684	276194	124078	121421	214493	113685	225596	132470	76587.4	321798	99546.8	173896	207734	96562.5	203068	228700	128615	161027	98221.1	69814.1	266371	104843	59254.4	54232.2	43208.7	221397	135328	220957	153731	137307	305780	69007.7	39079.3	64554.8	28	6
P02671	356769	142969	99165.2	312924	461919	118285	162833	646291	157471	674199	190521	147872	521118	118126	4.7884e+06	135061	249146	233113	192115	398717	1.12947e+06	4.64335e+06	50957.9	78224.4	104721	4.12646e+06	868040	176096	263698	224108	3.65171e+06	399607	75600.5	120339	175302	70477.6	289105	293760	4.52924e+06	294375	32639.9	142622	143046	53126.1	151548	2.09913e+06	52990.2	351426	1.5012e+06	2.32153e+06	174672	175024	83031.5	289696	1.79179e+06	145207	62799.2	225116	124580	297665	60915	320990	114204	143389	80804.1	66099	67293.9	1.49179e+06	88681.6	127712	93788	57736.9	98123.6	77100.6	116603	111377	60919.2	134586	129940	81900.6	344798	26279.7	40083.3	172812	131091	170004	171021	208191	58495.2	244867	148302	218389	181558	119403	73613.2	114510	331715	107457	250310	176858	272603	144613	104494	65386.6	26972.5	100214	23931.7	152926	49111.3	118403	133774	242265	54553.2	54304.8	52600.5	226752	60084.8	104892	14161.4	132601	142195	41451.9	42	10
P02675	40902.8	7202.21	0	26426.8	29034.8	9726.07	4456.52	268917	13606.3	73248.9	37741.5	11803.4	37265.6	20370.4	9.04852e+06	6107.91	31507.5	74805.1	61834.2	69781.8	5.10806e+06	6.04675e+06	21637.5	0	0	1.66358e+06	522330	10504.1	23818.8	9335.43	1.13241e+07	103861	0	3913.82	2045.28	0	37232	22230	3.10011e+06	51490.1	0	11216.6	7185.16	9701.94	3389.27	1.79767e+06	0	21775.8	573396	913792	15349	22113.5	5667.8	171304	2.60492e+06	1129.28	8844.88	50127.2	21248.9	192902	1575.71	21918.4	10891	1045.87	9914.26	1418.98	1428.42	470601	34550.2	6943.97	0	1469.76	20281.2	1685.93	0	989.357	2707.79	11023.8	13668.1	9966.8	83643.4	0	0	23291.1	0	18075.7	12851.5	17899.5	8506.89	35304.1	7836.02	17362.1	43957.6	10637.3	0	30843	84199.6	0	51618.8	9487.7	54750.9	645.552	5225.41	0	0	0	0	3213.71	0	1965.72	13015.4	7889.72	2161.33	2342.17	0	4970.58	7445.76	2996.25	0	22712.6	17052.5	488.879	9	3
P02679;P02679-2	9382.13	3054.61	0	8927.87	8029.83	0	1904.65	106242	6014.92	21966.5	11618.5	0	9136.1	4530.03	4.55994e+06	1271	8123.98	16964.9	18736.7	15251.2	5.47449e+06	3.32336e+06	1580.91	0	0	4.88914e+06	87526.2	3219.85	4162.05	1408.07	4.27748e+06	21173.1	3242.38	0	2165.31	0	9440.33	7282.28	1.18299e+06	16469.6	0	7767.68	3534.89	1656.97	0	1.07414e+06	0	11983.4	314977	490111	6080.94	6889.42	0	96027.5	3.30032e+06	2504.83	0	9235.36	3698.2	32057.6	0	6523.73	1955.92	0	1876.13	0	178.072	153177	6700.98	0	0	709.804	3635.95	0	480.937	465.496	3854.71	3125.71	2881.75	0	16120.5	0	0	5427.93	425.451	4182.72	4785.28	3749.33	0	4772.34	0	2835.84	0	2455.48	0	8694.61	17952.4	0	11745.5	3025.11	10696.3	0	220.488	0	0	0	0	616.07	0	0	8753.06	3066.29	0	1249.57	0	3175.03	0	1982.04	0	3649.38	2450.06	106.944	3	1
P02741	408053	0	17312.1	279172	190066	183426	101841	0	98437.9	1.29746e+06	89283.2	123641	25265.3	116141	0	138860	614999	92093.3	3635.76	1.10593e+06	47815.9	98256.7	67755.5	0	15765.9	0	359700	252430	295500	73443.1	69844.9	97305	40158.9	0	124764	59824.2	93256.8	318139	2553.9	746943	4930.03	5070.52	16167.3	0	20418.9	21136.5	20709.8	185729	17896.2	0	388509	11944.8	114952	0	0	80502.4	0	0	52633.6	1.15359e+06	5488.55	662129	65488.7	22907.1	30043.5	5640.64	214059	10547.9	2071.48	99357.3	6665.92	35408.4	31952.4	32201.6	17028.8	22678	934.046	4556.38	304700	20464.6	9931.67	0	0	33166	6973.66	0	48973.8	7627.5	0	181653	286388	157051	14512.9	72218.1	92626.5	74580.6	29474.7	31092.3	29975.2	549204	326067	31892.2	58501.5	18183.7	11888.2	34514.2	9249.97	139284	850.7	101704	266452	0	33072.7	30446.1	99981	261417	2957.25	67729.9	7253.83	235174	284182	29532.6	12	4
P02743	1.47427e+06	977867	1.09619e+06	1.47051e+06	1.39808e+06	690887	1.3838e+06	1.38949e+06	1.75616e+06	888806	1.65942e+06	1.84001e+06	2.00415e+06	899084	1.05002e+06	1.21532e+06	1.34807e+06	2.07398e+06	1.29856e+06	1.20012e+06	1.08107e+06	913982	1.13459e+06	1.96569e+06	1.49119e+06	625397	701556	2.40703e+06	1.81679e+06	1.62669e+06	984442	1.44878e+06	1.46671e+06	1.10114e+06	1.71915e+06	1.00828e+06	1.50553e+06	1.08182e+06	1.13652e+06	1.58816e+06	1.41713e+06	1.19678e+06	1.91739e+06	1.61706e+06	1.23282e+06	1.44318e+06	1.06429e+06	1.29065e+06	989997	518355	102656	1.37007e+06	1.4148e+06	1.62031e+06	582428	1.0677e+06	982785	1.47092e+06	776889	1.61766e+06	1.06964e+06	2.17198e+06	538476	1.14513e+06	1.44158e+06	771330	1.52311e+06	1.65414e+06	1.011e+06	2.24285e+06	1.54586e+06	1.82244e+06	2.34536e+06	1.5919e+06	1.5549e+06	1.40611e+06	1.28379e+06	1.42308e+06	1.69291e+06	1.56074e+06	1.22169e+06	1.36045e+06	1.56519e+06	1.90706e+06	1.04611e+06	1.07495e+06	1.82667e+06	1.12406e+06	1.60632e+06	2.3206e+06	2.759e+06	1.48975e+06	1.2981e+06	1.05679e+06	1.82758e+06	228032	1.127e+06	1.38575e+06	1.15857e+06	1.33403e+06	1.09705e+06	1.43368e+06	1.64657e+06	1.62048e+06	1.08152e+06	1.2761e+06	1.36961e+06	1.66224e+06	1.45274e+06	1.8606e+06	1.76665e+06	665182	604650	1.58491e+06	2.04647e+06	1.82419e+06	1.34057e+06	1.22892e+06	1.47494e+06	1.44319e+06	1.32435e+06	1.7059e+06	41	10
P02745	76504.4	55136.7	83933.8	76105.1	82866.2	133169	66607.5	59772.9	61461	88341.7	68909.3	68051.9	71337.8	63959	45234.8	0	91431.8	62593.5	81597.7	43237.9	22086.4	23650.9	71480.1	48176.6	94273.5	30988.1	44820	63641.1	68300.7	62835.5	28354.3	70279.3	60415.2	86695.7	72049.4	50925.3	56108.7	61895.4	49588.7	61631.7	66611.8	63186.8	92506.1	81918.4	54661	30993.8	66735	46359	42904.1	17437.8	171916	80026	52168.2	57640.9	43398.2	76490.1	67512.5	60336.7	51444.8	98443.3	57624.7	52931.8	42512.8	58527.9	49748.6	71545.3	79481	38493.1	54051.5	63455.3	47991.2	71875.3	54799.1	56058.2	61543.2	70598.1	71949	70354.2	73030.4	56480.4	76928.7	58532.8	83673.5	59671.9	66805.2	52214.6	48507.4	108965	49327	61000.8	26506.6	50472.7	70315.7	78399.8	60575.8	118384	80810.9	56726.2	80848.1	71683.3	66486.2	46865.7	64041	58326.3	67770.4	55368.4	93100.7	7300.84	64685.4	52467.4	65982.6	31311.8	41910.8	65827.9	42630.3	43420.1	53421.2	43506.8	68720.9	64134.5	57595.1	60775.2	15	4
P02747	665434	440784	659232	746163	716773	1.09337e+06	562197	560365	586091	772799	610679	519539	488094	560032	574965	31088	654419	518000	599171	293290	548582	357914	560437	500629	840103	317971	435844	518336	554415	489289	390235	618390	571632	836006	606125	489504	606710	612116	326738	524539	599083	604367	680118	607735	329108	350397	775726	693692	317058	293631	1.22009e+06	744341	525051	631702	306339	608656	474403	731796	712422	1.00928e+06	483430	560248	621900	478050	530447	460342	801679	334867	525083	573551	575776	518141	653823	430688	523276	653369	477809	608984	607542	640284	615619	536551	778420	1.03754e+06	484240	640063	572177	765913	781952	556914	969795	513008	660588	644374	519121	817580	752643	491546	659511	571259	803699	389278	619737	438454	565193	442585	657588	87627.6	462748	563119	506855	369355	749949	589776	446252	540882	581912	471304	690514	551649	531490	695886	22	6
P02748	587796	296468	385354	524160	489871	443794	466059	202093	493563	458133	443149	415798	393822	587181	70470.1	685029	603981	580381	446623	397392	234236	211806	536882	155705	446839	43043.8	437672	493601	465061	423179	47035	157737	477934	333518	452744	382330	477999	589909	189677	514105	254909	551195	397866	688273	471118	314606	236270	433230	156793	82291.2	143933	658908	468241	499244	84981.3	387222	302840	431918	568708	950160	230440	674353	117365	368049	424413	157916	370012	254876	238087	532404	253193	535166	354491	370610	344061	398857	158555	439885	474931	259394	397936	104128	169345	370615	326056	377465	452361	459765	245210	508485	726870	453423	497507	306178	436038	538703	398039	256866	370745	645220	614547	326389	492112	398517	327397	469907	362859	555270	191796	513451	360438	212231	230017	421444	510370	538678	315898	253324	326130	747614	605478	411942	46	10
P02749	1.57562e+06	1.4155e+06	1.14192e+06	727180	2.113e+06	874067	865888	600988	1.04336e+06	2.75724e+06	629789	1.38197e+06	1.9957e+06	822011	1.18758e+06	961637	707805	751214	570901	1.91083e+06	1.64364e+06	1.40587e+06	1.52156e+06	1.43819e+06	2.43053e+06	1.83077e+06	1.72674e+06	971232	1.77752e+06	1.99726e+06	1.79949e+06	733106	1.60741e+06	710065	1.63219e+06	421624	1.01553e+06	998009	1.85461e+06	1.09722e+06	2.25273e+06	775346	692730	864926	762806	1.08779e+06	1.82427e+06	962454	765154	1.70717e+06	373837	832037	2.05556e+06	695882	1.16533e+06	1.54652e+06	253847	805679	1.03644e+06	2.22881e+06	397168	2.24858e+06	793217	1.57869e+06	1.12708e+06	1.30018e+06	2.02984e+06	2.33011e+06	1.42943e+06	1.3752e+06	1.09518e+06	688866	1.40224e+06	1.44136e+06	1.81925e+06	1.95712e+06	1.61641e+06	1.55779e+06	1.01539e+06	1.04354e+06	798880	2.20885e+06	1.51677e+06	2.11624e+06	1.17122e+06	2.78959e+06	1.11869e+06	1.26995e+06	1.84706e+06	669388	1.16214e+06	722604	806986	1.25075e+06	1.37681e+06	1.30773e+06	491909	1.2938e+06	1.13603e+06	1.07312e+06	842836	1.66131e+06	1.63224e+06	1.73729e+06	1.80118e+06	1.37704e+06	1.54804e+06	851027	2.28736e+06	1.20374e+06	812346	2.33883e+06	628906	396876	1.45984e+06	1.74401e+06	1.80823e+06	955978	1.17971e+06	1.02008e+06	627978	1.45984e+06	61	10
P02750	1.38837e+06	438041	331831	1.12798e+06	1.66488e+06	733299	380726	798138	795017	1.57157e+06	542178	807097	208214	989651	42562.9	1.41989e+06	1.46403e+06	790336	778616	1.75374e+06	135642	377489	1.05257e+06	184565	399223	102886	1.23782e+06	749321	1.27031e+06	425421	163235	868810	986092	254311	676296	364555	770486	1.11212e+06	97781.7	1.57498e+06	194317	479518	802280	910239	851322	333095	484632	783326	122830	41451.2	332857	576485	512099	638970	168021	885085	367524	616114	253000	1.38537e+06	508041	1.08131e+06	872715	233223	408303	190179	738212	298000	293638	864523	382627	427861	364843	400819	269272	554542	162419	493647	825618	278525	845871	150309	297905	520641	559525	448026	450015	687516	237362	773987	1.25463e+06	836839	890750	715745	410075	884143	649432	314816	416853	1.18464e+06	1.3217e+06	406622	738283	542658	255642	734056	302698	1.24448e+06	176997	902366	904946	640435	490732	600196	531339	1.17093e+06	341448	607558	245960	1.03102e+06	1.06113e+06	437875	43	10
P02751-14;P02751-8	29073.8	107388	73554.1	96200	84473.9	47313.2	56825.4	147529	66854.3	83236.3	44034.2	69656	146950	54343	89953.8	39118.9	93403	52603.6	80156.3	74335.5	10646.4	0	76821.5	82607.6	57329.5	85303.4	165902	65845.3	76374.4	411370	81207.9	89390.2	59396.3	104212	65498.3	104418	65564.8	51030.6	23771.3	67916.7	115998	74057.8	112256	95504.3	64842.1	0	110929	40982.8	0	33535.1	53280.4	88408.8	123199	338944	44663.5	133430	49194	124366	184691	71626.9	50111.5	110964	36491.9	117059	152181	137565	121033	0	6937.87	63256.6	40973.6	38538.7	42613.4	119705	81161.6	141178	42859.1	92476.6	79571.8	95453.5	100477	147762	74821.8	68647.9	106790	88795.1	117290	119740	117576	84193.8	70300.3	54191.6	82688.2	126090	58959.7	148293	41375.6	116180	100895	35607	32536.5	113048	76180.3	110834	76766.7	83672.1	102521	85689.1	108947	90447.2	247957	39299.2	30204.9	44077.6	58110.8	86045.5	94083.5	52365.9	36832.2	47600.5	41763.7	0	6	1
P02751;P02751-15;P02751-3;P02751-7	723339	1.12889e+06	757960	914504	832050	460832	609079	1.22631e+06	691817	769539	505899	687426	1.05789e+06	323658	1.34998e+06	425768	863877	481172	692260	637585	605581	242538	648168	918220	469285	1.30372e+06	1.4924e+06	585314	652401	1.9519e+06	1.39196e+06	757628	721733	1.02532e+06	718400	978782	616725	549164	354269	640750	996701	946337	1.02258e+06	836895	570426	0	1.16346e+06	539266	53252	337800	644370	739097	796149	2.42448e+06	629674	1.27582e+06	422857	1.0165e+06	1.33278e+06	595647	699725	1.07742e+06	516649	924578	971334	1.19023e+06	1.24354e+06	32978.1	454183	976216	1.07292e+06	562974	648696	1.11945e+06	608806	1.46148e+06	528828	787052	685381	1.26006e+06	994140	1.04378e+06	717855	927157	1.08566e+06	867541	1.0578e+06	840533	1.21588e+06	802559	898470	554525	769087	1.12044e+06	533768	1.53233e+06	396174	1.29073e+06	761166	368804	415156	1.22384e+06	753814	724188	748629	745964	1.29724e+06	590508	1.27199e+06	702708	2.28329e+06	1.05367e+06	572109	401775	538518	628494	813737	876340	283209	341131	276696	0	34	10
P02753;Q5VY30	334562	583375	587377	365290	662401	272540	299281	375010	406712	1.40053e+06	298549	369211	1.26073e+06	151329	403179	250991	357835	287657	435544	629258	776455	353112	282266	1.61167e+06	984799	889278	519103	244720	456020	721117	375648	255915	550969	599715	494676	317361	186681	141253	1.14423e+06	161627	936248	363215	390044	401815	210832	373851	925454	122738	197625	602319	4150.4	388346	316385	523619	389965	490895	255760	512668	588531	378605	330662	816147	240908	694033	659999	324009	486712	1.20041e+06	472158	398320	525529	446613	703683	661005	582543	563628	746843	678460	403370	611927	337297	1.05624e+06	921263	795598	415209	1.01138e+06	490964	380958	937218	458183	773151	186382	313701	468178	820688	432366	201051	753828	419001	272672	230166	724469	1.02537e+06	966779	598047	596757	453030	648020	952328	333494	371756	1.06578e+06	307795	341327	696923	342898	726790	836455	506714	265692	234150	309881	46	10
P02760	393288	377637	395716	358025	832727	441637	296967	228651	253248	651964	370266	554590	841503	273821	173925	359048	484203	384342	329896	887789	178054	250565	284914	403309	861816	245701	565150	283522	596085	414443	320935	430512	453227	369146	394743	229507	194469	266726	404687	268760	337163	303856	345805	326839	436214	297945	349527	280722	81364.4	155784	222100	435008	302402	429526	305186	392978	236551	367344	380397	429200	134314	683241	175463	328871	458762	390691	655655	348214	281120	373350	272269	547454	373611	360384	482019	493125	403093	603632	412065	249602	406725	345040	341409	397376	258181	816443	362680	409463	426166	292684	558225	251767	321711	442450	487551	455751	215660	538903	372936	288978	221210	411594	630539	505531	730325	384806	388774	438011	533976	288861	315094	818586	222686	247175	445900	484549	600757	260068	490692	407474	234542	530256	49	10
P02763	1.22995e+07	4.97477e+06	3.73246e+06	1.23561e+07	1.16144e+07	4.52212e+06	5.71678e+06	7.09987e+06	6.75036e+06	1.44037e+07	9.17412e+06	7.24114e+06	7.19967e+06	1.11964e+07	2.97963e+06	1.03104e+07	9.83838e+06	1.0184e+07	6.24075e+06	2.34165e+07	8.11985e+06	7.59464e+06	7.42711e+06	5.64713e+06	7.90935e+06	2.79213e+06	6.74203e+06	9.60354e+06	7.87796e+06	5.19902e+06	4.80491e+06	1.22221e+07	4.64918e+06	4.55039e+06	9.25733e+06	8.04925e+06	1.00017e+07	1.20659e+07	3.64972e+06	1.68669e+07	5.1913e+06	1.08029e+07	7.55189e+06	6.72276e+06	5.66148e+06	5.19627e+06	5.38871e+06	1.52616e+07	4.33134e+06	1.80632e+06	4.47731e+06	6.97047e+06	7.59282e+06	5.62406e+06	3.82098e+06	4.83712e+06	1.23416e+07	6.83685e+06	4.13536e+06	1.3356e+07	5.33771e+06	9.28917e+06	1.44621e+07	3.72586e+06	4.9548e+06	1.96763e+06	5.85044e+06	8.8352e+06	5.39506e+06	7.36638e+06	5.13411e+06	5.92135e+06	7.41097e+06	5.18689e+06	7.89239e+06	5.82235e+06	3.62324e+06	6.45448e+06	1.03849e+07	5.50294e+06	7.87846e+06	4.09008e+06	5.89497e+06	5.94859e+06	6.20557e+06	5.02604e+06	5.59716e+06	6.1897e+06	3.71583e+06	7.60725e+06	1.14476e+07	1.02576e+07	6.69945e+06	4.45903e+06	5.70194e+06	9.171e+06	1.18007e+07	5.34696e+06	7.58424e+06	8.57141e+06	9.39261e+06	4.33928e+06	6.6406e+06	5.23669e+06	4.26218e+06	7.04211e+06	5.51672e+06	1.57991e+07	4.79626e+06	9.75436e+06	1.66314e+07	9.9645e+06	8.39851e+06	1.37082e+07	7.14018e+06	7.50472e+06	3.45554e+06	6.3977e+06	4.3045e+06	1.37123e+07	1.10332e+07	5.53889e+06	58	10
P02765	2.89194e+06	4.27896e+06	2.86001e+06	2.67017e+06	2.96261e+06	3.6571e+06	4.91232e+06	4.04369e+06	3.16086e+06	2.67495e+06	3.94102e+06	2.59054e+06	2.6323e+06	3.3551e+06	6.142e+06	2.2653e+06	2.45579e+06	3.55899e+06	2.78275e+06	3.67161e+06	6.45773e+06	4.55943e+06	3.0049e+06	3.11394e+06	3.2772e+06	5.1208e+06	3.34112e+06	2.66428e+06	3.55503e+06	3.11942e+06	6.22775e+06	3.18391e+06	4.20759e+06	4.26616e+06	2.81043e+06	4.19e+06	3.80393e+06	2.65971e+06	6.74206e+06	1.23935e+06	4.90242e+06	3.98982e+06	3.9341e+06	3.7258e+06	2.52246e+06	6.35922e+06	4.64889e+06	1.99652e+06	2.91514e+06	5.49864e+06	1.79737e+06	4.65887e+06	2.70139e+06	4.372e+06	5.85348e+06	4.4486e+06	4.07312e+06	3.79664e+06	4.47902e+06	1.80358e+06	3.66636e+06	3.07013e+06	2.8337e+06	4.63729e+06	1.87564e+06	4.66628e+06	3.73895e+06	4.92047e+06	4.40701e+06	4.12707e+06	4.91333e+06	3.07876e+06	3.23765e+06	4.63343e+06	3.03351e+06	3.96838e+06	3.93289e+06	2.98368e+06	3.73857e+06	5.60694e+06	3.51904e+06	3.76853e+06	4.68249e+06	4.72947e+06	3.13971e+06	4.06277e+06	4.38443e+06	2.97325e+06	3.66991e+06	2.69185e+06	4.42784e+06	2.84576e+06	4.00184e+06	4.88329e+06	3.69223e+06	3.64428e+06	2.59558e+06	2.95457e+06	3.68489e+06	3.61743e+06	3.25961e+06	4.16504e+06	2.51086e+06	4.01358e+06	2.84381e+06	3.22315e+06	3.75434e+06	2.84224e+06	5.17552e+06	2.59586e+06	2.17362e+06	3.56791e+06	4.04942e+06	3.6208e+06	3.52224e+06	3.17754e+06	2.97603e+06	3.70608e+06	3.81275e+06	2.9666e+06	2.68158e+06	3.13083e+06	63	10
P02766	1.20079e+06	1.8333e+06	1.22537e+06	1.03271e+06	1.32435e+06	724808	1.11989e+06	881652	1.2692e+06	1.38918e+06	907891	1.49781e+06	1.45866e+06	366664	910585	745035	1.50275e+06	938916	922462	1.08836e+06	1.23296e+06	396738	1.12747e+06	3.86665e+06	2.81347e+06	685483	1.29552e+06	940718	1.82805e+06	1.90396e+06	1.12307e+06	777058	1.85025e+06	1.06549e+06	1.16042e+06	1.26908e+06	879806	550060	1.6862e+06	930958	2.60854e+06	1.13477e+06	1.78782e+06	802887	868716	1.05125e+06	2.30789e+06	1.00867e+06	475746	927868	227353	1.77158e+06	1.92183e+06	1.42469e+06	840036	1.58312e+06	641374	835588	1.66794e+06	961107	871826	2.09023e+06	432188	1.96362e+06	1.93717e+06	1.02829e+06	2.14461e+06	1.61047e+06	1.32288e+06	1.50116e+06	2.06959e+06	1.0748e+06	1.95001e+06	2.26775e+06	1.99521e+06	1.45761e+06	2.5207e+06	1.96602e+06	1.18151e+06	2.44553e+06	1.33266e+06	4.29628e+06	3.75983e+06	2.35813e+06	1.42852e+06	2.17177e+06	1.66891e+06	1.42942e+06	3.15334e+06	1.13883e+06	2.03955e+06	836814	1.2405e+06	1.70471e+06	2.28002e+06	1.12769e+06	640611	2.82786e+06	1.47131e+06	906805	829053	1.74007e+06	2.1899e+06	2.53518e+06	2.28075e+06	1.92019e+06	2.10539e+06	1.90337e+06	2.24178e+06	1.34603e+06	1.01692e+06	1.17641e+06	1.07342e+06	1.31026e+06	2.11311e+06	1.64037e+06	2.08621e+06	2.13043e+06	1.71149e+06	875599	490032	1.92238e+06	57	10
